query	service	action	params
播放1989专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': '1989', 'norm': '1989', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Alive专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'alive', 'norm': 'alive', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放All The Little Lights专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'all the little lights', 'norm': 'all the little lights', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Animal专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'animal', 'norm': 'animal', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Avril Lavigne专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'avril lavigne', 'norm': 'avril lavigne', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Backstreet's Back专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': "backstreet's back", 'norm': "backstreet's back", 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Body on Me专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'body on me', 'norm': 'body on me', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Breakaway专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'breakaway', 'norm': 'breakaway', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Dance Dance Dance专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'dance dance dance', 'norm': 'dance dance dance', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Dark Sky Island专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'dark sky island', 'norm': 'dark sky island', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Demi专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'demi', 'norm': 'demi', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Drag Me Down专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'drag me down', 'norm': 'drag me down', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Femme Fatale专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'femme fatale', 'norm': 'femme fatale', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Good Time专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'good time', 'norm': 'good time', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放GPS密封令专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'gps密封令', 'norm': 'gps密封令', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Hands Of Love专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'hands of love', 'norm': 'hands of love', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放HONEST专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'honest', 'norm': 'honest', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Honeymoon专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'honeymoon', 'norm': 'honeymoon', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放I Cry When I Laugh专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'i cry when i laugh', 'norm': 'i cry when i laugh', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放I'm In Love With a Monster专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': "i'm in love with a monster", 'norm': "i'm in love with a monster", 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放It's Love专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': "it's love", 'norm': "it's love", 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放JJ陆专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'jj陆', 'norm': 'jj陆', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Lenka专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'lenka', 'norm': 'lenka', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Let Go专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'let go', 'norm': 'let go', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Libra专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'libra', 'norm': 'libra', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Listen专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'listen', 'norm': 'listen', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Locked Away专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'locked away', 'norm': 'locked away', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Made In the A.M.专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'made in the a.m.', 'norm': 'made in the a.m.', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Maps专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'maps', 'norm': 'maps', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放MC高迪单曲集专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'mc高迪单曲集', 'norm': 'mc高迪单曲集', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Native专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'native', 'norm': 'native', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放New Thang专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'new thang', 'norm': 'new thang', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Oh My My专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'oh my my', 'norm': 'oh my my', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Perfect专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'perfect', 'norm': 'perfect', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放PRISM专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'prism', 'norm': 'prism', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Revival专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'revival', 'norm': 'revival', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放rice & shine专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'rice & shine', 'norm': 'rice & shine', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Roar专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'roar', 'norm': 'roar', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Sorry专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'sorry', 'norm': 'sorry', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Stronger专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'stronger', 'norm': 'stronger', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

播放Take Me When You Go专辑的歌	RMUSIC_1129	PlayByAlbum	{'album_name': {'orgin': 'take me when you go', 'norm': 'take me when you go', 'logic': '', 'paramType': '@sys.any', 'code': 0}}

